"","subject_ID","breed","preregistered_data","condition_order","condition","trial_num","treat_location","response","age","sex","dog_training_experience","research_experience"
"54","messerli_md1_007","Rhodesian_Ridgeback","before_prereg","non","non",6,"L",1,6,"M",2.375,2
"55","messerli_md1_007","Rhodesian_Ridgeback","before_prereg","non","non",7,"R",1,6,"M",2.375,2
"56","messerli_md1_007","Rhodesian_Ridgeback","before_prereg","non","non",8,"R",0,6,"M",2.375,2
"57","messerli_md1_008","Rhodesian_Ridgeback","before_prereg","ost","ost",1,"R",0,2,"F",2.5,2
"58","messerli_md1_008","Rhodesian_Ridgeback","before_prereg","ost","ost",2,"L",0,2,"F",2.5,2
"59","messerli_md1_008","Rhodesian_Ridgeback","before_prereg","ost","ost",3,"L",1,2,"F",2.5,2
"60","messerli_md1_008","Rhodesian_Ridgeback","before_prereg","ost","ost",4,"R",1,2,"F",2.5,2
"61","messerli_md1_008","Rhodesian_Ridgeback","before_prereg","ost","ost",5,"L",1,2,"F",2.5,2
"62","messerli_md1_008","Rhodesian_Ridgeback","before_prereg","ost","ost",6,"R",1,2,"F",2.5,2
"63","messerli_md1_008","Rhodesian_Ridgeback","before_prereg","ost","ost",7,"R",1,2,"F",2.5,2
"64","messerli_md1_008","Rhodesian_Ridgeback","before_prereg","ost","ost",8,"L",1,2,"F",2.5,2
"65","messerli_md1_009","Golden_Retriever","before_prereg","non","non",1,"R",1,5,"M",3.875,0
"66","messerli_md1_009","Golden_Retriever","before_prereg","non","non",2,"L",0,5,"M",3.875,0
"67","messerli_md1_009","Golden_Retriever","before_prereg","non","non",3,"R",1,5,"M",3.875,0
"68","messerli_md1_009","Golden_Retriever","before_prereg","non","non",4,"L",0,5,"M",3.875,0
"69","messerli_md1_009","Golden_Retriever","before_prereg","non","non",5,"L",0,5,"M",3.875,0
"70","messerli_md1_009","Golden_Retriever","before_prereg","non","non",6,"R",1,5,"M",3.875,0
"71","messerli_md1_009","Golden_Retriever","before_prereg","non","non",7,"L",0,5,"M",3.875,0
"72","messerli_md1_009","Golden_Retriever","before_prereg","non","non",8,"R",1,5,"M",3.875,0
"73","messerli_md1_010","Border_Collie","before_prereg","non","non",1,"L",0,11,"F",3.875,3
"74","messerli_md1_010","Border_Collie","before_prereg","non","non",2,"R",1,11,"F",3.875,3
"75","messerli_md1_010","Border_Collie","before_prereg","non","non",3,"L",1,11,"F",3.875,3
"76","messerli_md1_010","Border_Collie","before_prereg","non","non",4,"R",1,11,"F",3.875,3
"77","messerli_md1_010","Border_Collie","before_prereg","non","non",5,"L",0,11,"F",3.875,3
"78","messerli_md1_010","Border_Collie","before_prereg","non","non",6,"L",1,11,"F",3.875,3
"79","messerli_md1_010","Border_Collie","before_prereg","non","non",7,"R",0,11,"F",3.875,3
"80","messerli_md1_010","Border_Collie","before_prereg","non","non",8,"R",1,11,"F",3.875,3
"81","messerli_md1_011","Border_Collie","before_prereg","ost","ost",1,"R",0,7,"F",3.625,3
"82","messerli_md1_011","Border_Collie","before_prereg","ost","ost",2,"L",0,7,"F",3.625,3
"83","messerli_md1_011","Border_Collie","before_prereg","ost","ost",3,"L",0,7,"F",3.625,3
"84","messerli_md1_011","Border_Collie","before_prereg","ost","ost",4,"R",1,7,"F",3.625,3
"85","messerli_md1_011","Border_Collie","before_prereg","ost","ost",5,"L",0,7,"F",3.625,3
"86","messerli_md1_011","Border_Collie","before_prereg","ost","ost",6,"R",1,7,"F",3.625,3
"87","messerli_md1_011","Border_Collie","before_prereg","ost","ost",7,"R",1,7,"F",3.625,3
"88","messerli_md1_011","Border_Collie","before_prereg","ost","ost",8,"L",0,7,"F",3.625,3
"89","messerli_md1_012","Border_Collie","before_prereg","ost","ost",1,"L",1,1,"F",4,2
"90","messerli_md1_012","Border_Collie","before_prereg","ost","ost",2,"R",1,1,"F",4,2
"91","messerli_md1_012","Border_Collie","before_prereg","ost","ost",3,"L",0,1,"F",4,2
"92","messerli_md1_012","Border_Collie","before_prereg","ost","ost",4,"R",1,1,"F",4,2
"93","messerli_md1_012","Border_Collie","before_prereg","ost","ost",5,"L",0,1,"F",4,2
"94","messerli_md1_012","Border_Collie","before_prereg","ost","ost",6,"L",0,1,"F",4,2
"95","messerli_md1_012","Border_Collie","before_prereg","ost","ost",7,"R",1,1,"F",4,2
"96","messerli_md1_012","Border_Collie","before_prereg","ost","ost",8,"R",1,1,"F",4,2
"97","messerli_md1_013","JP_Russell_Terrier","before_prereg","non","non",1,"L",1,1,"M",2.5,0
"98","messerli_md1_013","JP_Russell_Terrier","before_prereg","non","non",2,"R",1,1,"M",2.5,0
"99","messerli_md1_013","JP_Russell_Terrier","before_prereg","non","non",3,"L",0,1,"M",2.5,0
"100","messerli_md1_013","JP_Russell_Terrier","before_prereg","non","non",4,"R",0,1,"M",2.5,0
"101","messerli_md1_013","JP_Russell_Terrier","before_prereg","non","non",5,"L",1,1,"M",2.5,0
"102","messerli_md1_013","JP_Russell_Terrier","before_prereg","non","non",6,"L",0,1,"M",2.5,0
"103","messerli_md1_013","JP_Russell_Terrier","before_prereg","non","non",7,"R",1,1,"M",2.5,0
"104","messerli_md1_013","JP_Russell_Terrier","before_prereg","non","non",8,"R",1,1,"M",2.5,0
"105","messerli_md1_014","Australian_Shepherd","before_prereg","ost","ost",1,"L",0,3,"M",3.125,3
"106","messerli_md1_014","Australian_Shepherd","before_prereg","ost","ost",2,"R",1,3,"M",3.125,3
"107","messerli_md1_014","Australian_Shepherd","before_prereg","ost","ost",3,"L",1,3,"M",3.125,3
"108","messerli_md1_014","Australian_Shepherd","before_prereg","ost","ost",4,"R",0,3,"M",3.125,3
"109","messerli_md1_014","Australian_Shepherd","before_prereg","ost","ost",5,"L",1,3,"M",3.125,3
"110","messerli_md1_014","Australian_Shepherd","before_prereg","ost","ost",6,"L",1,3,"M",3.125,3
"111","messerli_md1_014","Australian_Shepherd","before_prereg","ost","ost",7,"R",0,3,"M",3.125,3
"112","messerli_md1_014","Australian_Shepherd","before_prereg","ost","ost",8,"R",1,3,"M",3.125,3
"113","messerli_md1_015","MIX","before_prereg","non","non",1,"R",0,9,"F",1.75,0
"114","messerli_md1_015","MIX","before_prereg","non","non",2,"L",1,9,"F",1.75,0
"115","messerli_md1_015","MIX","before_prereg","non","non",3,"R",0,9,"F",1.75,0
"116","messerli_md1_015","MIX","before_prereg","non","non",4,"L",1,9,"F",1.75,0
"117","messerli_md1_015","MIX","before_prereg","non","non",5,"L",1,9,"F",1.75,0
"118","messerli_md1_015","MIX","before_prereg","non","non",6,"R",0,9,"F",1.75,0
"119","messerli_md1_015","MIX","before_prereg","non","non",7,"L",1,9,"F",1.75,0
"120","messerli_md1_015","MIX","before_prereg","non","non",8,"R",0,9,"F",1.75,0
"121","messerli_md1_016","MIX","before_prereg","ost","ost",1,"L",1,5,"F",2.5,0
"122","messerli_md1_016","MIX","before_prereg","ost","ost",2,"R",1,5,"F",2.5,0
"123","messerli_md1_016","MIX","before_prereg","ost","ost",3,"L",0,5,"F",2.5,0
"124","messerli_md1_016","MIX","before_prereg","ost","ost",4,"R",1,5,"F",2.5,0
"125","messerli_md1_016","MIX","before_prereg","ost","ost",5,"L",1,5,"F",2.5,0
"126","messerli_md1_016","MIX","before_prereg","ost","ost",6,"L",0,5,"F",2.5,0
"127","messerli_md1_016","MIX","before_prereg","ost","ost",7,"R",0,5,"F",2.5,0
"128","messerli_md1_016","MIX","before_prereg","ost","ost",8,"R",0,5,"F",2.5,0
"129","messerli_md1_017","Australian_Shepherd","before_prereg","ost","ost",1,"R",0,2,"F",2.875,0
"130","messerli_md1_017","Australian_Shepherd","before_prereg","ost","ost",2,"L",1,2,"F",2.875,0
"131","messerli_md1_017","Australian_Shepherd","before_prereg","ost","ost",3,"L",1,2,"F",2.875,0
"132","messerli_md1_017","Australian_Shepherd","before_prereg","ost","ost",4,"R",0,2,"F",2.875,0
"133","messerli_md1_017","Australian_Shepherd","before_prereg","ost","ost",5,"L",1,2,"F",2.875,0
"134","messerli_md1_017","Australian_Shepherd","before_prereg","ost","ost",6,"R",0,2,"F",2.875,0
"135","messerli_md1_017","Australian_Shepherd","before_prereg","ost","ost",7,"R",1,2,"F",2.875,0
"136","messerli_md1_017","Australian_Shepherd","before_prereg","ost","ost",8,"L",1,2,"F",2.875,0
"137","messerli_md1_018","Rhodesian_Ridgeback","before_prereg","ost","ost",1,"L",0,8,"F",2.5,2
"138","messerli_md1_018","Rhodesian_Ridgeback","before_prereg","ost","ost",2,"R",0,8,"F",2.5,2
"139","messerli_md1_018","Rhodesian_Ridgeback","before_prereg","ost","ost",3,"L",1,8,"F",2.5,2
"140","messerli_md1_018","Rhodesian_Ridgeback","before_prereg","ost","ost",4,"R",0,8,"F",2.5,2
"141","messerli_md1_018","Rhodesian_Ridgeback","before_prereg","ost","ost",5,"L",0,8,"F",2.5,2
"142","messerli_md1_018","Rhodesian_Ridgeback","before_prereg","ost","ost",6,"L",0,8,"F",2.5,2
"143","messerli_md1_018","Rhodesian_Ridgeback","before_prereg","ost","ost",7,"R",0,8,"F",2.5,2
"144","messerli_md1_018","Rhodesian_Ridgeback","before_prereg","ost","ost",8,"R",0,8,"F",2.5,2
"145","messerli_md1_019","Rhodesian_Ridgeback","before_prereg","non","non",1,"L",0,3,"F",2.375,3
"146","messerli_md1_019","Rhodesian_Ridgeback","before_prereg","non","non",2,"R",1,3,"F",2.375,3
"147","messerli_md1_019","Rhodesian_Ridgeback","before_prereg","non","non",3,"L",1,3,"F",2.375,3
"148","messerli_md1_019","Rhodesian_Ridgeback","before_prereg","non","non",4,"R",0,3,"F",2.375,3
"149","messerli_md1_019","Rhodesian_Ridgeback","before_prereg","non","non",5,"L",1,3,"F",2.375,3
"150","messerli_md1_019","Rhodesian_Ridgeback","before_prereg","non","non",6,"L",0,3,"F",2.375,3
"151","messerli_md1_019","Rhodesian_Ridgeback","before_prereg","non","non",7,"R",0,3,"F",2.375,3
"152","messerli_md1_019","Rhodesian_Ridgeback","before_prereg","non","non",8,"R",1,3,"F",2.375,3
"153","messerli_md1_020","Border_Collie","before_prereg","ost","ost",1,"R",1,11,"M",4,3
"154","messerli_md1_020","Border_Collie","before_prereg","ost","ost",2,"L",1,11,"M",4,3
"155","messerli_md1_020","Border_Collie","before_prereg","ost","ost",3,"L",0,11,"M",4,3
"156","messerli_md1_020","Border_Collie","before_prereg","ost","ost",4,"R",1,11,"M",4,3
"157","messerli_md1_020","Border_Collie","before_prereg","ost","ost",5,"L",0,11,"M",4,3
"158","messerli_md1_020","Border_Collie","before_prereg","ost","ost",6,"R",1,11,"M",4,3
"159","messerli_md1_020","Border_Collie","before_prereg","ost","ost",7,"R",1,11,"M",4,3
"160","messerli_md1_020","Border_Collie","before_prereg","ost","ost",8,"L",0,11,"M",4,3
"161","messerli_md1_021","MIX","before_prereg","ost","ost",1,"R",1,6,"M",2.8125,3
"162","messerli_md1_021","MIX","before_prereg","ost","ost",2,"L",1,6,"M",2.8125,3
"163","messerli_md1_021","MIX","before_prereg","ost","ost",3,"L",1,6,"M",2.8125,3
"164","messerli_md1_021","MIX","before_prereg","ost","ost",4,"R",1,6,"M",2.8125,3
"165","messerli_md1_021","MIX","before_prereg","ost","ost",5,"L",1,6,"M",2.8125,3
"166","messerli_md1_021","MIX","before_prereg","ost","ost",6,"R",0,6,"M",2.8125,3
"167","messerli_md1_021","MIX","before_prereg","ost","ost",7,"R",1,6,"M",2.8125,3
"168","messerli_md1_021","MIX","before_prereg","ost","ost",8,"L",1,6,"M",2.8125,3
"169","messerli_md1_022","Border_Collie","before_prereg","non","non",1,"R",1,5,"M",3.125,1
"170","messerli_md1_022","Border_Collie","before_prereg","non","non",2,"L",0,5,"M",3.125,1
"171","messerli_md1_022","Border_Collie","before_prereg","non","non",3,"R",1,5,"M",3.125,1
"172","messerli_md1_022","Border_Collie","before_prereg","non","non",4,"L",0,5,"M",3.125,1
"173","messerli_md1_022","Border_Collie","before_prereg","non","non",5,"L",0,5,"M",3.125,1
"174","messerli_md1_022","Border_Collie","before_prereg","non","non",6,"R",1,5,"M",3.125,1
"175","messerli_md1_022","Border_Collie","before_prereg","non","non",7,"L",0,5,"M",3.125,1
"176","messerli_md1_022","Border_Collie","before_prereg","non","non",8,"R",1,5,"M",3.125,1
"177","messerli_md1_023","JP_Russell_Terrier","before_prereg","non","non",1,"R",1,6,"F",3.125,0
"178","messerli_md1_023","JP_Russell_Terrier","before_prereg","non","non",2,"L",0,6,"F",3.125,0
"179","messerli_md1_023","JP_Russell_Terrier","before_prereg","non","non",3,"R",1,6,"F",3.125,0
"180","messerli_md1_023","JP_Russell_Terrier","before_prereg","non","non",4,"L",1,6,"F",3.125,0
"181","messerli_md1_023","JP_Russell_Terrier","before_prereg","non","non",5,"L",1,6,"F",3.125,0
"182","messerli_md1_023","JP_Russell_Terrier","before_prereg","non","non",6,"R",1,6,"F",3.125,0
"183","messerli_md1_023","JP_Russell_Terrier","before_prereg","non","non",7,"L",1,6,"F",3.125,0
"184","messerli_md1_023","JP_Russell_Terrier","before_prereg","non","non",8,"R",1,6,"F",3.125,0
"185","messerli_md1_025","Labrador_Retriever","before_prereg","non","non",1,"L",1,12,"F",2,3
"186","messerli_md1_025","Labrador_Retriever","before_prereg","non","non",2,"R",1,12,"F",2,3
"187","messerli_md1_025","Labrador_Retriever","before_prereg","non","non",3,"L",1,12,"F",2,3
"188","messerli_md1_025","Labrador_Retriever","before_prereg","non","non",4,"R",1,12,"F",2,3
"189","messerli_md1_025","Labrador_Retriever","before_prereg","non","non",5,"L",1,12,"F",2,3
"190","messerli_md1_025","Labrador_Retriever","before_prereg","non","non",6,"L",1,12,"F",2,3
"191","messerli_md1_025","Labrador_Retriever","before_prereg","non","non",7,"R",0,12,"F",2,3
"192","messerli_md1_025","Labrador_Retriever","before_prereg","non","non",8,"R",0,12,"F",2,3
"193","messerli_md1_026","Labrador_Retriever","before_prereg","ost","ost",1,"L",0,5,"F",3.125,3
"194","messerli_md1_026","Labrador_Retriever","before_prereg","ost","ost",2,"R",0,5,"F",3.125,3
"195","messerli_md1_026","Labrador_Retriever","before_prereg","ost","ost",3,"L",1,5,"F",3.125,3
"196","messerli_md1_026","Labrador_Retriever","before_prereg","ost","ost",4,"R",1,5,"F",3.125,3
"197","messerli_md1_026","Labrador_Retriever","before_prereg","ost","ost",5,"L",1,5,"F",3.125,3
"198","messerli_md1_026","Labrador_Retriever","before_prereg","ost","ost",6,"L",1,5,"F",3.125,3
"199","messerli_md1_026","Labrador_Retriever","before_prereg","ost","ost",7,"R",0,5,"F",3.125,3
"200","messerli_md1_026","Labrador_Retriever","before_prereg","ost","ost",8,"R",1,5,"F",3.125,3
"201","messerli_md1_027","Labrador_Retriever","before_prereg","non","non",1,"L",0,2,"F",2.625,1
"202","messerli_md1_027","Labrador_Retriever","before_prereg","non","non",2,"R",0,2,"F",2.625,1
"203","messerli_md1_027","Labrador_Retriever","before_prereg","non","non",3,"L",1,2,"F",2.625,1
"204","messerli_md1_027","Labrador_Retriever","before_prereg","non","non",4,"R",0,2,"F",2.625,1
"205","messerli_md1_027","Labrador_Retriever","before_prereg","non","non",5,"L",1,2,"F",2.625,1
"206","messerli_md1_027","Labrador_Retriever","before_prereg","non","non",6,"L",1,2,"F",2.625,1
"207","messerli_md1_027","Labrador_Retriever","before_prereg","non","non",7,"R",1,2,"F",2.625,1
"208","messerli_md1_027","Labrador_Retriever","before_prereg","non","non",8,"R",0,2,"F",2.625,1
"209","messerli_md1_029","White Swiss Shepherd Dog","before_prereg","ost","ost",1,"L",1,6,"M",3,0
"210","messerli_md1_029","White Swiss Shepherd Dog","before_prereg","ost","ost",2,"R",1,6,"M",3,0
"211","messerli_md1_029","White Swiss Shepherd Dog","before_prereg","ost","ost",3,"L",0,6,"M",3,0
"212","messerli_md1_029","White Swiss Shepherd Dog","before_prereg","ost","ost",4,"R",1,6,"M",3,0
"213","messerli_md1_029","White Swiss Shepherd Dog","before_prereg","ost","ost",5,"L",0,6,"M",3,0
"214","messerli_md1_029","White Swiss Shepherd Dog","before_prereg","ost","ost",6,"L",0,6,"M",3,0
"215","messerli_md1_029","White Swiss Shepherd Dog","before_prereg","ost","ost",7,"R",1,6,"M",3,0
"216","messerli_md1_029","White Swiss Shepherd Dog","before_prereg","ost","ost",8,"R",1,6,"M",3,0
"217","messerli_md1_030","Border_Collie","before_prereg","non","non",1,"R",0,4,"F",3.25,3
"218","messerli_md1_030","Border_Collie","before_prereg","non","non",2,"L",1,4,"F",3.25,3
"219","messerli_md1_030","Border_Collie","before_prereg","non","non",3,"R",0,4,"F",3.25,3
"220","messerli_md1_030","Border_Collie","before_prereg","non","non",4,"L",1,4,"F",3.25,3
"221","messerli_md1_030","Border_Collie","before_prereg","non","non",5,"L",1,4,"F",3.25,3
"222","messerli_md1_030","Border_Collie","before_prereg","non","non",6,"R",0,4,"F",3.25,3
"223","messerli_md1_030","Border_Collie","before_prereg","non","non",7,"L",1,4,"F",3.25,3
"224","messerli_md1_030","Border_Collie","before_prereg","non","non",8,"R",1,4,"F",3.25,3
"225","messerli_md1_031","Border_Collie","before_prereg","non","non",1,"L",1,10,"M",2.625,3
"226","messerli_md1_031","Border_Collie","before_prereg","non","non",2,"R",0,10,"M",2.625,3
"227","messerli_md1_031","Border_Collie","before_prereg","non","non",3,"L",0,10,"M",2.625,3
"228","messerli_md1_031","Border_Collie","before_prereg","non","non",4,"R",1,10,"M",2.625,3
"229","messerli_md1_031","Border_Collie","before_prereg","non","non",5,"L",1,10,"M",2.625,3
"230","messerli_md1_031","Border_Collie","before_prereg","non","non",6,"L",1,10,"M",2.625,3
"231","messerli_md1_031","Border_Collie","before_prereg","non","non",7,"R",1,10,"M",2.625,3
"232","messerli_md1_031","Border_Collie","before_prereg","non","non",8,"R",1,10,"M",2.625,3
"233","messerli_md1_032","White Swiss Shepherd Dog","before_prereg","non","non",1,"L",1,3,"F",2.5,2
"234","messerli_md1_032","White Swiss Shepherd Dog","before_prereg","non","non",2,"R",0,3,"F",2.5,2
"235","messerli_md1_032","White Swiss Shepherd Dog","before_prereg","non","non",3,"L",1,3,"F",2.5,2
"236","messerli_md1_032","White Swiss Shepherd Dog","before_prereg","non","non",4,"R",1,3,"F",2.5,2
"237","messerli_md1_032","White Swiss Shepherd Dog","before_prereg","non","non",5,"L",0,3,"F",2.5,2
"238","messerli_md1_032","White Swiss Shepherd Dog","before_prereg","non","non",6,"L",1,3,"F",2.5,2
"239","messerli_md1_032","White Swiss Shepherd Dog","before_prereg","non","non",7,"R",1,3,"F",2.5,2
"240","messerli_md1_032","White Swiss Shepherd Dog","before_prereg","non","non",8,"R",1,3,"F",2.5,2
"241","messerli_md1_034","White Swiss Shepherd Dog","after_prereg","non","non",1,"R",1,5,"M",2.625,0
"242","messerli_md1_034","White Swiss Shepherd Dog","after_prereg","non","non",2,"L",0,5,"M",2.625,0
"243","messerli_md1_034","White Swiss Shepherd Dog","after_prereg","non","non",3,"R",1,5,"M",2.625,0
"244","messerli_md1_034","White Swiss Shepherd Dog","after_prereg","non","non",4,"L",0,5,"M",2.625,0
"245","messerli_md1_034","White Swiss Shepherd Dog","after_prereg","non","non",5,"L",1,5,"M",2.625,0
"246","messerli_md1_034","White Swiss Shepherd Dog","after_prereg","non","non",6,"R",0,5,"M",2.625,0
"247","messerli_md1_034","White Swiss Shepherd Dog","after_prereg","non","non",7,"L",1,5,"M",2.625,0
"248","messerli_md1_034","White Swiss Shepherd Dog","after_prereg","non","non",8,"R",1,5,"M",2.625,0
"249","messerli_md1_035","JP_Russell_Terrier","after_prereg","ost","ost",1,"L",0,3,"M",2.8125,1
"250","messerli_md1_035","JP_Russell_Terrier","after_prereg","ost","ost",2,"R",1,3,"M",2.8125,1
"251","messerli_md1_035","JP_Russell_Terrier","after_prereg","ost","ost",3,"L",0,3,"M",2.8125,1
"252","messerli_md1_035","JP_Russell_Terrier","after_prereg","ost","ost",4,"R",1,3,"M",2.8125,1
"253","messerli_md1_035","JP_Russell_Terrier","after_prereg","ost","ost",5,"L",0,3,"M",2.8125,1
"254","messerli_md1_035","JP_Russell_Terrier","after_prereg","ost","ost",6,"L",0,3,"M",2.8125,1
"255","messerli_md1_035","JP_Russell_Terrier","after_prereg","ost","ost",7,"R",1,3,"M",2.8125,1
"256","messerli_md1_035","JP_Russell_Terrier","after_prereg","ost","ost",8,"R",1,3,"M",2.8125,1
"257","messerli_md1_036","Border_Collie","after_prereg","non","non",1,"R",0,2,"M",3.125,0
"258","messerli_md1_036","Border_Collie","after_prereg","non","non",2,"L",1,2,"M",3.125,0
"259","messerli_md1_036","Border_Collie","after_prereg","non","non",3,"L",1,2,"M",3.125,0
"260","messerli_md1_036","Border_Collie","after_prereg","non","non",4,"R",0,2,"M",3.125,0
"261","messerli_md1_036","Border_Collie","after_prereg","non","non",5,"L",1,2,"M",3.125,0
"262","messerli_md1_036","Border_Collie","after_prereg","non","non",6,"L",1,2,"M",3.125,0
"263","messerli_md1_036","Border_Collie","after_prereg","non","non",7,"R",0,2,"M",3.125,0
"264","messerli_md1_036","Border_Collie","after_prereg","non","non",8,"R",0,2,"M",3.125,0
"265","messerli_md1_037","Siberian_Husky","after_prereg","ost","ost",1,"L",0,5,"M",2.375,3
"266","messerli_md1_037","Siberian_Husky","after_prereg","ost","ost",2,"R",0,5,"M",2.375,3
"267","messerli_md1_037","Siberian_Husky","after_prereg","ost","ost",3,"L",0,5,"M",2.375,3
"268","messerli_md1_037","Siberian_Husky","after_prereg","ost","ost",4,"R",0,5,"M",2.375,3
"269","messerli_md1_037","Siberian_Husky","after_prereg","ost","ost",5,"L",0,5,"M",2.375,3
"270","messerli_md1_037","Siberian_Husky","after_prereg","ost","ost",6,"L",1,5,"M",2.375,3
"271","messerli_md1_037","Siberian_Husky","after_prereg","ost","ost",7,"R",1,5,"M",2.375,3
"272","messerli_md1_037","Siberian_Husky","after_prereg","ost","ost",8,"R",1,5,"M",2.375,3
"273","messerli_md1_038","White Swiss Shepherd Dog","after_prereg","ost","ost",1,"L",0,4,"M",3.4375,3
"274","messerli_md1_038","White Swiss Shepherd Dog","after_prereg","ost","ost",2,"R",1,4,"M",3.4375,3
"275","messerli_md1_038","White Swiss Shepherd Dog","after_prereg","ost","ost",3,"L",1,4,"M",3.4375,3
"276","messerli_md1_038","White Swiss Shepherd Dog","after_prereg","ost","ost",4,"R",1,4,"M",3.4375,3
